ABLEAK,ABTRG,BELTRG,BFORC,DUR,DV,EV1,EV2,EV3,PDOF_H,PMAXF,SABPR,SCFRC,Chest Deflection [mm],HIC 15,Head Acc,Neck Force_z [kN]
0.790283203,22.75283432,7.112442493,0.00144727,98.36750031,59.65447235,0.01,0.01,0.01,1.040521383,2.120428085,0.00165,0.00778436,-48.464211,460.99568,0.69621271,1.5986474
1.434475422,18.2491169,5.389146328,0.00069349,89.68031311,57.55818176,0.01,0.01,0.01,3.218836308,2.239805222,0.00138504,0.00644427,-32.840508,268.71223,0.66369903,1.0371237
0.576974392,20.85565948,14.89361477,0.00151779,119.3891907,53.38034439,0.01,0.01,0.01,8.577602386,1.144677043,0.00155746,0.01021665,-41.91053,217.31061,0.65221125,0.87529653
0.566320121,16.71748352,12.17562771,0.0016467,131.6151886,42.41939163,0.01,0.01,0.01,3.904348135,1.339505315,0.00135633,0.00612943,-27.655487,116.88703,0.55364347,0.63489699
1.255180478,21.32069206,6.08286953,0.00085573,86.23351288,45.24565125,0.01,0.01,0.01,-6.651781559,1.161342263,0.00112075,0.00739402,-34.125748,118.71275,0.41884443,0.90077078
1.064873695,21.27304649,6.555670738,0.0017923,97.08266449,47.89178848,0.01,0.01,0.01,5.125169754,1.894342184,0.00125511,0.00785858,-38.677307,144.20753,0.46596295,0.6368947
1.281591058,22.28687668,5.482323647,0.00137375,123.1509476,58.4840889,0.01,0.01,0.01,7.66075325,1.205434918,0.00133803,0.00976652,-39.848133,133.01374,0.45604479,0.81831235
0.545875072,19.81429863,5.132534981,0.00114992,108.0495377,56.61999893,0.01,0.01,0.01,9.952702522,2.210516214,0.00128703,0.00918834,-39.969593,191.15523,0.56894243,0.90769815
1.091615558,20.61751747,10.34197235,0.00151185,93.64511871,44.7713623,0.01,0.01,0.01,-6.7429533,1.948524952,0.00132027,0.00947265,-35.624496,152.73255,0.48520923,0.71891081
0.753562331,19.27239799,7.189633846,0.00159662,126.9517899,48.96154785,0.01,0.01,0.01,7.828129292,1.332481503,0.00131203,0.0111403,-33.569061,123.3106,0.52018756,0.57699132
0.951708436,20.81037903,12.51003265,0.00094415,96.36743927,48.31282043,0.01,0.01,0.01,-3.306213379,2.340880871,0.0014536,0.00869265,-40.40612,171.85319,0.55892444,1.0214117
