Point;A2OFRC;B2OFRC;BELTLL1;DABPRES;DABRAD;DUR;DV;EV1;EV2;EV3;FTRIGG;IP2OFRC;KNEEFRC;PDOF_H;PTFORCE;RIMFRC;S2OFRC;SLIPFRC;STWANGLE;STWCOMP;STWTRANS;YAWSF;Risk(45yrs|2ribfx)(%);LOGIT(risk);L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12
1;0.348;0.394;5.8;1.25;320;106;25;0.111;-0.445;0.166;28;0.342;12.4;-11.1;2.16;1.95;0.388;0.211;24.7;3.41;25.4;0.00698;0.03;-4.171987107;0.340632047;0.6023956;0.924392883;0.892883539;0.561192445;0.387488701;0.315947365;0.335972221;0.448254775;0.565824145;0.315747294;0.190612348;0.523027824;0.267451815;0.38305528;0.429129042;0.500740902;0.680565275;0.764371222;0.670397142;0.460708188;0.26389074;0.166062743;0.188223121
2;0.384;0.298;3.64;1.53;326;85.3;21.1;-1.56;-0.394;0.668;6.94;0.246;7.03;-3.41;2.11;2.53;0.224;0.255;24.8;5.05;-5.12;0.00708;0.02;-8.052294111;0.273717567;0.66127996;0.778224599;0.781291351;0.565640396;0.350677292;0.287310965;0.300635723;0.323724165;0.348278787;0.409866683;0.298816361;0.43116184;0.225692498;0.422138022;0.504307589;0.52911872;0.607164344;0.730529195;0.70392685;0.507798651;0.26029686;0.292000477;0.173770904
3;0.347;0.248;4.27;1.3;344;121;36.3;1.65;-0.865;-0.51;25.1;0.291;15.6;4.01;1.97;2.65;0.336;0.162;22.9;4.53;-8.75;0.00735;1.52;-8.65783812;0.371490722;0.783940312;1.576345973;1.722211018;0.8006908;0.469789095;0.375423743;0.396693032;0.430361181;0.310988794;0.203027716;0.215691235;0.467944564;0.27180675;0.382211315;0.429657148;0.495172152;0.654114317;0.892449729;1.212192886;0.806366466;0.357985287;0.238303305;0.220646104
4;0.333;0.229;4.46;1.2;308;113;34.4;-1.31;0.597;0.121;28.4;0.229;9.3;-36.4;2.07;2.09;0.259;0.0467;22.2;4.38;23.5;0.00938;3.38;-3.354685858;1.096081268;0.909624342;1.619219221;0.7048395;0.587897608;0.643759919;0.60006557;1.285805646;1.851314493;1.143988036;0.651670201;0.283759204;0.638731755;0.4022968;0.740257464;0.862058252;0.826002937;0.793693308;0.719163101;0.690624025;0.458781933;0.411580782;0.269086636;0.549542438
5;0.389;0.246;4.35;1.43;297;114;44.7;1.53;0.956;-0.446;11.5;0.216;5.67;8.7;1.38;3.21;0.306;0.192;25.6;4.14;15.7;0.00861;15.16;-1.722865633;0.495907525;0.87813437;1.670250297;2.081364207;0.870535709;0.616101222;0.522061856;0.501717115;0.469686231;0.34370725;0.236731232;0.214396557;0.333354645;0.270829792;0.435838196;0.427026441;0.575617515;0.778801832;1.488114242;2.004534565;1.894833706;0.849020947;0.351995672;0.398567505
6;0.35;0.226;4.41;1.27;363;109;53.8;2.85;-0.726;-0.374;27;0.214;5.16;-27.8;1.74;2.57;0.4;0.281;21.5;4.02;14.6;0.0072;71.96;0.941866552;1.897690818;0.679440657;1.478648093;1.228314266;1.063710731;0.886256341;1.136136521;3.016914241;2.573270537;2.829584666;1.380643621;0.553334272;0.916594919;0.543278689;0.907006953;1.011187676;1.076728385;1.146837138;0.942676049;0.759010436;0.583997509;0.587081024;0.302053266;0.498796534
7;0.369;0.328;4.94;1.05;323;133;17.4;-0.897;-0.238;0.756;6.62;0.363;6.68;0.427;1.66;3.64;0.225;0.137;25.1;3.53;-10.6;0.00241;0;-12.09524653;0.263619749;0.474694138;0.618105568;0.519191846;0.310965301;0.199581566;0.177095167;0.187631545;0.191058754;0.131680653;0.195286283;0.132620218;0.217502122;0.131820748;0.134677126;0.170529413;0.254556281;0.395669043;0.494078221;0.426860852;0.250459649;0.141782244;0.121906924;0.151615427
8;0.306;0.389;4.64;1.26;343;128;34.6;0.0557;-0.741;0.521;37.4;0.272;12.9;-5.37;1.87;3.14;0.209;0.259;23.8;5;-25.8;0.00591;0.72;-4.929286299;0.366399274;0.737312762;1.548634563;1.458701119;0.702904118;0.552970637;0.403714413;0.459929788;0.454905303;0.348227471;0.214023003;0.227151392;0.624657795;0.376479561;0.47260914;0.532970112;0.624876376;0.774056232;0.916069373;0.89380648;0.684057502;0.279011484;0.218727579;0.194825314
9;0.264;0.259;5.05;1.31;345;93.6;21.9;0.179;-2.18;-0.598;4.87;0.237;11;-35.7;1.16;2.71;0.329;0.139;25.2;3.39;-27.9;0.0069;0.07;-7.213524625;0.530798035;0.549182156;1.031251065;0.681891618;0.516584702;0.439861463;0.348144909;0.347648654;0.51243715;0.773347914;1.064481772;0.27230077;0.500156824;0.258207694;0.304680364;0.51084687;0.625707256;0.717413472;0.673242984;0.55030454;0.269019441;0.283979625;0.344825815;0.166226469
10;0.355;0.399;4.55;1.18;347;117;28.8;-0.607;-1.09;0.265;14.1;0.37;8.74;0.362;2.41;2.41;0.241;0.181;23.7;4.07;19.3;0.00791;0.24;-6.022403829;0.250984379;0.788860023;1.292478107;1.214988995;0.588469906;0.392524945;0.332189281;0.357268401;0.394729013;0.296032359;0.260011898;0.236291881;0.377073791;0.220551877;0.274686492;0.334878149;0.481100753;0.733591849;0.921027828;0.92476476;0.671559293;0.27699268;0.214586314;0.184285687
11;0.213;0.36;4.03;1.26;318;113;23.8;-1.25;1.67;0.708;17;0.365;8.36;-5.1;2.1;2.58;0.257;0.126;24.2;4.14;26.6;0.00588;0;-9.949383325;0.288447016;0.588592328;0.72480063;0.688955653;0.442989403;0.322247529;0.242353859;0.253481604;0.265884493;0.22318163;0.277411402;0.175380346;0.379123865;0.204942981;0.319093862;0.385898212;0.428430783;0.529781077;0.614584051;0.570366345;0.381466956;0.203224178;0.159533578;0.205214112
12;0.222;0.397;4.2;1.35;339;108;7.16;-0.147;-0.938;0.43;18.1;0.352;10.8;4.56;0.753;4.05;0.326;0.16;21.7;4.71;2.77;0.0086;0;-17.34252655;0.15518805;0.227799988;0.288725249;0.229706266;0.228919648;0.157301128;0.107193808;0.089515367;0.104219781;0.112964958;0.145469746;0.089681172;0.249464484;0.0930893;0.130836002;0.239623757;0.285005919;0.206075888;0.173647329;0.130115787;0.113428093;0.095071713;0.079555222;0.072453916
13;0.261;0.247;5.07;1.31;327;121;22.2;0.984;-0.782;0.153;35.5;0.342;3.12;2.61;1.58;2.61;0.311;0.173;21.9;3.64;10.5;0.00537;0.01;-9.358891702;0.258637243;0.60411091;0.698768767;0.747024314;0.522729196;0.365255377;0.288665923;0.264502526;0.276776566;0.213419809;0.156161736;0.162969762;0.408528838;0.242175907;0.396872545;0.454550609;0.498130405;0.56093554;0.668942742;0.643714657;0.497621484;0.224666647;0.147028221;0.158954982
14;0.336;0.369;4.8;1.47;304;94.6;27.6;-1.7;1.36;0.136;53.8;0.35;4.97;2.85;2.1;2.76;0.315;0.243;25.2;5;-18.5;0.00739;0.58;-5.150382069;1.650660858;0.563373463;1.015996095;1.143773831;0.799885206;0.650795037;0.360682933;0.411871262;0.41689137;0.40087672;0.304997573;0.462382007;0.680764113;0.466452446;0.533998106;0.632844912;0.676477794;0.6522974;0.810188241;0.778905442;0.552531658;0.259876368;0.154206122;0.238738209
15;0.258;0.306;4.48;1.37;357;111;87.3;-0.854;0.557;0.457;13.1;0.334;8.67;9.99;1.01;3.7;0.38;0.118;21.5;4.47;-22.1;0.00683;88.27;2.017722576;1.623220183;1.138987485;2.279855311;3.911764175;2.580500767;1.806180365;0.769209582;0.662808772;0.626692595;0.57696756;0.645131106;1.166228112;1.071385108;0.622680876;0.619656919;0.804478768;1.082161907;1.002897602;1.477703825;2.186748199;2.566324733;1.257196162;0.327141257;0.544631016
16;0.367;0.394;3.77;1.28;347;108;24.6;2.66;-0.304;0.149;7.76;0.287;10.1;-7.35;1.52;3.69;0.311;0.186;22.2;5.72;-23.9;0.00607;0.05;-7.621569907;0.371165737;0.590081979;1.161417272;0.809809193;0.525712408;0.382870762;0.307353097;0.326973549;0.375008467;0.302662561;0.278345705;0.253604818;0.35411478;0.209453329;0.225567725;0.278903358;0.423352234;0.666387472;0.8093087;0.787516125;0.510783819;0.236315839;0.159408315;0.13674472
17;0.322;0.3;4;1.27;358;89;19.7;-0.729;-0.642;0.0961;20.6;0.243;18.5;-17.6;1.61;2.49;0.355;0.173;23.9;4.63;21.8;0.00568;0.01;-9.133539388;0.358035974;0.516877649;0.716618635;0.699949637;0.534339529;0.42269635;0.27734274;0.30938813;0.41669081;0.648727827;0.60956059;0.200709794;0.603906671;0.288666855;0.405524857;0.452887593;0.529066846;0.580620486;0.578401564;0.508918473;0.272583147;0.251712697;0.283249095;0.163548021
18;0.39;0.373;4.63;1.34;323;113;31.4;2.44;0.629;-0.501;10.2;0.273;6.11;-14;2.21;2.45;0.361;0.233;22.1;3.03;28.6;0.00758;0.44;-5.422248586;0.418400159;0.563321216;1.679192111;1.068255492;0.62618088;0.472517917;0.387732638;0.400981028;0.552043132;0.82083391;0.413393229;0.177782518;0.434731273;0.245584105;0.271646306;0.409796787;0.694366498;0.909069087;0.863278843;0.72257244;0.413920637;0.243692403;0.154017122;0.201771036
19;0.362;0.219;4.97;1.4;332;108;21.4;3.2;0.329;0.497;10.5;0.244;13.4;-33.7;1.72;3.17;0.276;0.14;22;2.99;-5.27;0.00558;0.02;-8.403660223;0.531596737;0.522336597;0.93466891;0.63598156;0.46833409;0.379883917;0.354991155;0.421922375;0.555922603;0.765839312;0.673362985;0.175694458;0.419145962;0.224182056;0.268941466;0.41188607;0.566622894;0.65775807;0.616520271;0.465948042;0.204488751;0.215533073;0.146174664;0.151690887
20;0.346;0.212;3.68;1.45;336;132;21.5;0.308;-0.7;-1.59;17.7;0.302;12.2;-40.3;2.85;0.781;0.224;0.133;22.9;4.66;-5.44;0.00682;0.01;-9.835263595;0.665248604;0.366172846;0.566038536;0.426238449;0.344925537;0.33394054;0.383457798;0.452429103;0.555525487;0.729277264;0.629958045;0.184451404;0.427475665;0.188053271;0.343720615;0.502067385;0.489631062;0.432363199;0.33327674;0.239426317;0.192137726;0.189404504;0.156952417;0.236414466
21;0.324;0.374;2.72;1.11;319;95.2;16.3;3.15;-1.04;0.104;31.6;0.308;4.38;-5.87;1.96;2.37;0.399;0.0691;24.1;6.56;-20.4;0.00541;0;-11.1963706;0.202690717;0.506737689;0.62704091;0.561895082;0.357360835;0.252937665;0.194486859;0.199393975;0.225999067;0.184225501;0.191238848;0.169224013;0.29996715;0.16926697;0.177544518;0.212376588;0.308257388;0.436224975;0.568461092;0.55792206;0.374833401;0.195631594;0.10637251;0.164449459
22;0.207;0.393;4.54;1.37;334;107;35.4;-0.357;0.247;0.658;40;0.253;6.95;1.84;1.25;2.32;0.256;0.102;25.1;4.88;-28;0.00627;3.36;-3.35993716;0.661313068;0.752273481;1.666728035;1.897052862;0.978108495;0.73067816;0.485956157;0.529236021;0.475706067;0.47981008;0.252400641;0.361970463;0.779517088;0.443805056;0.582302548;0.652061636;0.744149601;0.824450981;1.123972982;1.248172391;0.964904111;0.393452123;0.217310875;0.191496278
23;0.24;0.296;4.27;1.35;341;111;16.7;0.814;1.72;-0.54;23.5;0.211;8.37;-25.7;2.51;2.84;0.313;0.223;24.9;4.23;9.19;0.00395;0;-11.56318227;0.379380863;0.372812944;0.573402084;0.424818275;0.326304697;0.246549211;0.317923888;0.347765093;0.484886114;0.604145601;0.337835727;0.179266895;0.357343093;0.165790529;0.29728855;0.397367869;0.368000544;0.381211634;0.336667476;0.268947799;0.165753509;0.237032096;0.144253939;0.1919289
24;0.28;0.373;3.36;1.4;310;102;49.5;-0.122;-1.04;-0.216;27;0.246;10.9;-11.6;1.9;2.29;0.206;0.213;25.5;5.37;26.4;0.00925;2.96;-3.489369838;0.802938268;0.732728047;1.672725007;1.700897887;0.979094487;0.846736133;0.480028801;0.806481857;1.013768651;0.832869951;0.343126291;0.309174508;1.254675444;0.482086511;0.569817983;0.689539406;0.796385109;0.921184197;0.979364663;0.927508529;0.702804001;0.342370453;0.202142191;0.357730617
25;0.322;0.271;3.77;1.25;325;122;18.2;0.694;2.18;0.915;20.7;0.384;11;7.73;1.44;2.97;0.336;0.125;23.8;4.04;1.96;0.0114;0;-13.6901119;0.221270858;0.385292666;0.483438186;0.41647777;0.265631406;0.182966166;0.158963923;0.185812439;0.180430908;0.122384669;0.059899973;0.148903567;0.26960047;0.122343574;0.170834642;0.249633077;0.268622744;0.363474106;0.425026054;0.31446137;0.185155787;0.143713132;0.134869374;0.127635419
26;0.305;0.321;3.43;1.51;304;109;39.3;-1.44;0.847;1.03;40.6;0.382;13.3;-5.95;2.28;2.47;0.2;0.254;21.9;5.54;-25.1;0.00608;0.26;-5.946017682;0.613652309;0.568211405;0.955829583;1.151635963;0.840063486;0.731842127;0.379176321;0.464331917;0.530801993;0.482030027;0.266791787;0.515722623;0.990066677;0.466893706;0.704056676;0.778810214;0.852283649;0.831050053;0.834767707;0.820858404;0.611038925;0.324035692;0.188045285;0.323833991
27;0.22;0.317;3.8;1.5;311;110;40.6;-3.11;-1.01;0.361;24.9;0.351;13.6;-41.9;1.89;2.61;0.283;0.257;24.6;4.19;25.1;0.00596;44.23;-0.232502577;1.875173859;0.953878555;0.970961526;1.212840993;0.955390837;1.356578432;1.166224666;1.803804003;3.109407611;2.056611702;1.570795663;0.55995197;0.831455179;0.446302583;0.722252205;0.786106288;0.817079097;0.773697207;0.632279646;1.2615785;0.698425388;0.575584406;0.36281615;1.347888727
28;0.26;0.359;2.81;1.28;341;109;13.8;-1.51;0.0147;0.371;18.2;0.359;12.8;-26.1;2.16;1.98;0.363;0.0959;25.3;6.02;8.06;0.00936;0;-12.37171219;0.273150927;0.393993082;0.561103085;0.433883723;0.307972706;0.22568868;0.263959286;0.284822728;0.413055439;0.516409753;0.265239459;0.156764884;0.335180154;0.144904852;0.219190959;0.327320816;0.316392817;0.333585078;0.351516251;0.286276708;0.164195709;0.133106892;0.125477836;0.184846646
29;0.281;0.249;4.22;1.18;371;101;30.8;-0.828;-0.148;0.717;23.4;0.208;5.37;-4.32;1.77;3.45;0.327;0.191;22.7;3.58;-6.68;0.0043;0.87;-4.741298768;0.362414448;0.730842352;1.564561576;1.487135142;0.673798844;0.562545517;0.398793956;0.385855418;0.41409703;0.296404678;0.210665679;0.310125528;0.555311795;0.314739114;0.43469267;0.49863793;0.631293328;0.789287221;0.994461961;0.978263933;0.77519808;0.29231112;0.217960146;0.196677865
30;0.36;0.209;4.45;1.57;305;117;26.9;-0.599;1.68;0.112;19.2;0.388;3.56;-18;1.02;2.97;0.204;0.101;24.2;5.18;23.4;0.00567;0.01;-9.311757829;0.448998343;0.462830206;0.707532605;0.648301793;0.507158507;0.336135551;0.251696073;0.307863252;0.390200061;0.525700487;0.685897656;0.148881297;0.508922478;0.263197185;0.491520157;0.561028486;0.560488179;0.584376836;0.565948477;0.465028035;0.247177877;0.238234643;0.143211486;0.149919558
31;0.379;0.227;5.12;1.22;346;103;13.2;-0.541;1.66;0.142;15.9;0.391;13.8;-13.6;2.34;2.83;0.269;0.218;25.9;2.27;-29;0.00573;0;-12.98534304;0.307965814;0.410998054;0.536950259;0.415694714;0.283040665;0.189976674;0.183514261;0.226248219;0.33924107;0.348192244;0.310613355;0.158699777;0.261540688;0.135431637;0.149137422;0.178015954;0.258566905;0.366264046;0.41402895;0.327941752;0.173904607;0.209532143;0.174855103;0.196712557
32;0.325;0.218;4.15;1.43;303;105;37.3;1.25;-0.687;-0.13;7.35;0.293;13.7;-25.8;1.36;1.9;0.382;0.184;22.5;5.51;-27.6;0.00374;12.61;-1.936018763;1.786073297;1.741213351;2.272258513;1.295145042;0.673524942;0.603191974;0.470108911;0.858412869;0.963636488;0.884962175;1.4708573;0.269456278;0.576137612;0.296133594;0.523841893;0.761462795;0.857967604;0.99298805;0.968500134;0.833123177;0.468546338;0.276029343;0.177283923;0.196412881
33;0.314;0.251;3.22;1.45;334;96.3;34.9;0.0498;0.483;0.187;33.7;0.316;13;-38.4;1.4;2.52;0.379;0.0793;22.1;5.27;3.96;0.00809;18.25;-1.500300811;1.32771777;0.54425979;1.116719469;1.162114181;0.831012521;1.038599946;0.980286393;1.468784176;2.744250558;1.924183592;0.995529722;0.486359885;0.796908792;0.461800536;0.652463268;0.750586949;0.849173404;0.738623785;0.640722131;0.769697782;0.542925717;0.440433575;0.270620268;0.667626411
34;0.238;0.289;3.37;1.13;333;97.2;31.1;0.769;0.633;1.13;54.6;0.29;13.8;-1.36;2.45;3.9;0.378;0.0723;25.9;6.18;22.1;0.00555;0.14;-6.584624476;0.589131378;0.425845478;0.790169742;0.95211817;0.652708393;0.602501119;0.345745822;0.407414231;0.351807009;0.332173193;0.335558341;0.506555941;0.812315848;0.347984326;0.372171053;0.501095783;0.634064386;0.711680343;1.022278704;1.078731474;0.795944408;0.258076889;0.115547294;0.251499703
35;0.27;0.34;3.99;1.37;298;114;38.2;-1.16;2.18;1.09;27.7;0.349;8.33;3.42;2.39;3.51;0.342;0.162;24.8;5.29;7.25;0.00815;0.73;-4.913883885;0.385233457;0.746877817;1.457765326;1.485375501;0.740088988;0.573211536;0.398709672;0.441631023;0.393085647;0.361184333;0.271213078;0.258123735;0.576173421;0.372733246;0.519396178;0.560973445;0.604102621;0.761321047;0.97656576;0.980533846;0.796040148;0.31242799;0.243909541;0.212930725
36;0.308;0.303;4.4;1.44;323;108;15.4;-0.743;-1.52;-0.937;16.9;0.328;15.8;7.09;1.36;1.99;0.284;0.165;23.8;4.88;6.74;0.00787;0;-11.91676494;0.232470641;0.469618058;0.577600207;0.556862168;0.367387244;0.231668865;0.186271884;0.214105332;0.210594828;0.157569302;0.181418518;0.163412548;0.320647797;0.151275389;0.268375105;0.376586267;0.384198548;0.403737463;0.455548335;0.41225059;0.274717296;0.157677755;0.139303249;0.150559691
37;0.291;0.209;3.02;1.19;342;107;51.5;1.75;-1.35;0.735;5.2;0.22;11.3;-30.2;2.71;1.7;0.375;0.178;22.1;4.78;-7.82;0.008;29.81;-0.857040864;2.823462896;1.469234284;1.505088899;0.91945054;0.764002651;0.713113742;1.118375175;1.725984365;1.992636733;0.873707607;0.624569599;0.405569421;0.678995019;0.427224161;0.867500622;1.41578503;1.070407964;1.134932972;1.216603536;0.843470637;0.463337824;0.310776057;0.177144189;0.803581346
38;0.223;0.351;3.37;1.32;312;116;15.6;0.539;0.261;1.04;22.2;0.302;7.6;-17.2;1.4;2.6;0.386;0.213;22.5;3.73;26.7;0.00822;0;-12.503665;0.241920166;0.363248144;0.56410348;0.429293187;0.30925991;0.221383153;0.233555445;0.2702642;0.403449032;0.468702614;0.282549718;0.122887467;0.321195414;0.145842088;0.199381588;0.322852447;0.320608751;0.3749002;0.391592272;0.304545672;0.151006249;0.156443485;0.08379473;0.118827075
39;0.377;0.203;3.75;1.21;345;110;24.4;-1.52;-0.713;1.35;14.2;0.345;12.3;-12.6;2.31;3.62;0.294;0.181;25.2;4.03;-14.3;0.00494;0.02;-8.598250956;0.475325389;0.627474301;0.837493874;0.764738908;0.49840766;0.350664812;0.288005965;0.265708333;0.37245017;0.456732837;0.259770988;0.242959242;0.398522988;0.210205326;0.280304323;0.33779454;0.434364472;0.653729681;0.777806994;0.718746195;0.478482479;0.216966448;0.219414942;0.189160358
40;0.23;0.266;3.24;1.36;311;105;30;0.853;0.617;-0.196;21;0.279;11;-2.06;1.88;1.87;0.253;0.131;21.1;4.66;13.7;0.00564;0.02;-8.601269968;0.272468966;0.610311748;0.735666417;0.800539833;0.53479448;0.388194434;0.27987666;0.309609808;0.33639844;0.243854639;0.16542261;0.22955148;0.45860731;0.259895483;0.394222979;0.489738816;0.524004316;0.663107447;0.808220264;0.720203901;0.487483526;0.253237807;0.231605116;0.166728906
41;0.233;0.334;3.31;1.22;358;97.4;12.3;0.767;-0.942;0.288;22.3;0.245;10.9;-11.4;2;3.02;0.32;0.198;23.4;6.05;-0.918;0.00423;0;-12.6862621;0.213654852;0.427571591;0.537278689;0.453286059;0.315949298;0.213925797;0.187576492;0.216926145;0.322872284;0.315893139;0.300897751;0.18520935;0.340033672;0.141324825;0.227260147;0.31728812;0.331291161;0.37033956;0.419996958;0.353173027;0.199493626;0.196079141;0.138409261;0.154964742
42;0.278;0.338;3.97;1.26;315;116;36.8;1.8;-0.548;0.583;41.1;0.265;8.95;1.25;1.72;2.2;0.248;0.241;23.4;4.7;-12.5;0.0082;1.95;-3.920569911;0.34932238;0.698570395;1.555167418;1.671592519;0.816839933;0.577035034;0.412990153;0.461226841;0.447558658;0.352128386;0.22091209;0.259453803;0.589908985;0.379110593;0.521020358;0.587344635;0.641074777;0.818623323;1.287868619;1.238674112;0.868043769;0.343441451;0.22361693;0.218464714
43;0.314;0.337;4.34;1.31;337;113;43.8;1.73;0.963;-0.859;8.05;0.287;19.5;-32.5;2.16;1.85;0.262;0.124;22.2;3.86;4.35;0.00942;6.42;-2.679402216;1.877805591;0.773990108;1.299909782;0.898182765;0.620402535;0.687010353;0.692847092;1.566270553;1.888385788;1.141844317;0.617699698;0.290959026;0.639639096;0.350240432;0.739257177;0.86847879;0.779753737;0.774159189;0.647621509;0.552593777;0.376600423;0.343949348;0.195540302;0.291306921
44;0.246;0.355;2.78;1.51;334;122;59.3;-1.21;0.771;-0.627;8.25;0.393;7.37;-20.7;1.66;2.58;0.337;0.176;21.6;5.86;-2.46;0.00879;13.99;-1.816429752;1.346645318;0.546394009;1.735974103;0.97788116;0.790919363;0.745952269;0.741002709;1.611080766;2.365068905;1.629521511;0.619113445;0.44825417;1.314783469;0.461348146;0.663401512;0.689195655;0.745634921;0.736554945;0.733712083;0.690166838;0.399744697;0.4319489;0.167318259;0.345418602
45;0.222;0.395;3.34;1.38;325;132;23;-3.68;-0.366;-0.0575;22.9;0.259;18;-18.9;0.907;1.55;0.396;0.198;23;6.2;11.2;0.00521;0.01;-8.97842626;0.440030964;0.481308345;0.750537682;0.674402434;0.545499707;0.383420405;0.280108978;0.294017582;0.403901795;0.596249104;0.719676074;0.158285268;0.621622102;0.280949404;0.451276731;0.520020304;0.566973817;0.567363808;0.554234441;0.477479817;0.243713311;0.226839585;0.169925846;0.121265766
46;0.209;0.234;4.84;1.15;341;126;23.2;0.0394;2.45;0.607;22.5;0.251;7.12;-4.99;1.72;2.89;0.359;0.177;22.2;2.69;-13.9;0.00788;0;-11.60619609;0.245215488;0.487506203;0.596665312;0.548378564;0.366099435;0.272050686;0.212216168;0.218094327;0.212467532;0.194370968;0.140499475;0.179162167;0.346326362;0.170812267;0.24932602;0.298008323;0.360536785;0.494074216;0.497143297;0.44063488;0.251985574;0.25199072;0.137336412;0.163389719
47;0.257;0.223;4.41;1.32;323;121;14.1;-0.0195;0.517;-0.513;140;0.298;8.73;-13.3;1.97;1.65;0.364;0.141;23.2;2.98;27.8;0.00587;18.27;-1.499017092;0.41299616;0.173992547;0.337523059;0.205330132;0.174696336;0.141054462;0.208054204;0.24087762;0.162768236;0.116048381;0.088826998;0.111739;0.337942713;0.630089128;2.324005775;2.795534767;0.625221245;0.356835127;0.313654612;0.27969894;0.231078244;0.117651885;0.104610028;0.173993979
48;0.305;0.301;4.73;1.38;316;147;18.7;-0.466;0.399;0.799;3.92;0.251;7.74;9.01;2.33;1.81;0.243;0.157;21.9;3.11;-11;0.00616;0;-12.70592081;0.239375047;0.454165693;0.589835225;0.481797522;0.281349546;0.179820962;0.1582394;0.170047116;0.171580922;0.132405234;0.131687394;0.132837659;0.192944205;0.114611641;0.134643808;0.151031034;0.231248722;0.387422927;0.442737341;0.35742803;0.213745073;0.198912295;0.167208945;0.150357396
49;0.374;0.374;3.52;1.19;367;96;21.6;-0.83;0.355;0.822;9.15;0.245;7.26;-0.353;2.18;3.21;0.338;0.111;25.6;6.01;21.3;0.0037;0.01;-9.583486133;0.208682776;0.612414163;0.759492209;0.776461093;0.447528018;0.290167006;0.237767468;0.270161731;0.275052595;0.210408471;0.299439556;0.194116845;0.353319524;0.19548221;0.276947953;0.298229721;0.370248314;0.498016039;0.637322525;0.61874208;0.400845939;0.217602798;0.198733248;0.172239053
50;0.269;0.281;6.52;1.24;320;112;28.7;-0.124;-0.355;-0.0708;11.7;0.267;16.4;6.55;2.14;3.39;0.307;0.175;25;1.87;-1.68;0.00779;0.47;-5.349346183;0.301560434;0.776533969;1.07214665;1.775330119;0.582098868;0.43509393;0.309481984;0.333673554;0.342103816;0.242700381;0.201254664;0.223471504;0.286890427;0.194941228;0.255643227;0.291089574;0.417770818;0.627672626;0.848253164;0.953599811;0.683388114;0.321696722;0.227882061;0.190567982
51;0.363;0.289;3.45;1.47;299;118;18.7;1.06;-0.635;0.195;4.36;0.248;8.61;2.07;1.16;2.61;0.375;0.247;21.6;5.73;29.5;0.0116;0;-11.07865727;0.196389994;0.511513371;0.656530866;0.608478906;0.38008017;0.235580769;0.232697232;0.244686427;0.258423481;0.183965045;0.219138665;0.168377743;0.259880139;0.162229908;0.151054992;0.190478063;0.288219051;0.453808391;0.570570724;0.510671316;0.302679301;0.152957556;0.126954634;0.096673454
52;0.201;0.384;4.88;1.36;332;96.4;40.8;0.783;-0.871;-1.84;45.9;0.26;6.55;-15.1;2.56;3.71;0.232;0.237;21.2;3.04;0.792;0.00717;14.8;-1.75059382;2.17639599;0.975331478;1.73710119;1.62502192;1.20827714;1.425107103;0.56541916;0.659183785;1.226648875;1.125582214;0.512306159;0.540992199;1.518768072;0.49360441;0.790339895;1.055657025;1.263981406;1.064762939;1.019907277;0.982563756;0.599057274;0.364551391;0.259487354;0.41723419
53;0.381;0.308;4.39;1.45;320;103;37.1;2.81;-1.3;0.816;80;0.36;13.4;-11.5;2.36;2.2;0.273;0.214;22.6;5.61;19.5;0.00974;48.2;-0.072485935;1.063822303;0.796855427;2.116422914;2.192735672;1.047297847;1.964548044;2.15931125;1.837750711;1.264510117;0.899128336;1.400376391;0.548722455;1.914173365;1.401187573;1.487056538;1.645444706;1.304456126;0.951058883;0.877345446;0.852446631;0.605564984;0.434123119;0.749974092;1.301093213
54;0.278;0.316;4.1;1.33;313;114;22.9;-1.37;1.14;-0.209;11.2;0.275;15.7;-9.03;1.48;2.36;0.301;0.206;23.5;4.61;4.65;0.00783;0;-10.12675802;0.31242494;0.524885347;0.739592128;0.656325324;0.425891206;0.293624983;0.236714166;0.252665067;0.349600217;0.357862841;0.298952125;0.170506386;0.373608922;0.200644182;0.26464439;0.350071467;0.411020638;0.545824924;0.626350287;0.519645913;0.314768869;0.216934038;0.146261323;0.126544316
55;0.358;0.337;3.97;1.39;347;110;26.9;1.42;-1;-0.315;13.5;0.39;8.5;-6.11;2.61;3.55;0.399;0.0973;24.3;4.54;25.3;0.00618;0.01;-9.113891115;0.339617394;0.61105513;0.781260896;0.723437825;0.497868191;0.359181617;0.266150315;0.263809576;0.375073892;0.384760043;0.332378084;0.25684759;0.472485833;0.223951344;0.356354984;0.433583418;0.448358664;0.636897516;0.721503934;0.610823836;0.363095105;0.224059657;0.237712869;0.200642576
56;0.377;0.332;3.82;1.12;378;109;22.9;0.557;0.798;0.586;12.1;0.275;17;4.88;2.8;2.59;0.355;0.106;24.1;4.64;-26.1;0.00816;0;-10.15568602;0.226539001;0.588915031;0.714896154;0.721070589;0.407211063;0.321709993;0.221533864;0.248043379;0.252389791;0.177355867;0.24701918;0.184973457;0.248184474;0.156528491;0.167456339;0.209562713;0.303718983;0.489097927;0.60142884;0.570131559;0.35987983;0.233178539;0.174714124;0.190502801
