Point;A2OFRC;B2OFRC;BELTLL1;DABPRES;DABRAD;DUR;DV;EV1;EV2;EV3;FTRIGG;IP2OFRC;KNEEFRC;PDOF_H;PTFORCE;RIMFRC;S2OFRC;SLIPFRC;STWANGLE;STWCOMP;STWTRANS;YAWSF;Risk(45yrs|2ribfx)(%);LOGIT(risk);L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12
264;0.259;0.283;4.38;1.33;341;104;26.7;0.217;-0.06;0.0644;15.8;0.265;14.3;-27.9;2.5;2.22;0.315;0.213;21.9;5.43;10.8;0.00808;0.06;-7.495226244;0.899466686;0.50371415;0.812208746;0.651639793;0.515556429;0.426159799;0.374417193;0.442020129;0.566924317;0.844089314;0.936571229;0.242450368;0.60200342;0.252562179;0.387407956;0.543628959;0.608370174;0.660357531;0.595195638;0.454937341;0.237259828;0.291081052;0.295398501;0.231670286
265;0.293;0.205;3.16;1.41;301;127;22.8;2.54;-0.0538;-0.329;72.3;0.343;8.12;-0.927;1.8;2.9;0.39;0.125;23.4;5.75;19.5;0.00659;0.02;-8.495748418;0.349141425;0.454920577;0.696739974;0.801100116;0.686310744;0.597865973;0.32423134;0.336910365;0.397041906;0.375162321;0.25077716;0.286551239;0.478071393;0.36942875;0.521433866;0.586663187;0.67691002;0.61507388;0.683676032;0.678305794;0.500448793;0.255763042;0.165753905;0.179446395
266;0.311;0.256;4.91;1.12;312;91.9;27.7;-3.85;-1.86;-0.389;12.9;0.323;6.59;-20.5;2.21;3.46;0.391;0.239;21.6;3.45;-25.4;0.00483;2.72;-3.577587124;0.76273405;0.69668931;1.762835681;1.523131691;0.696158595;0.583953969;0.452884939;0.439820252;0.515565928;0.854604319;1.037596539;0.233866903;0.566001842;0.333241397;0.35314206;0.443210639;0.693646725;1.102448534;1.384413894;1.115394011;0.70784553;0.312889856;0.291803223;0.238917163
267;0.394;0.393;2.86;1.03;338;99.9;24.3;1.39;-2.57;-1.61;46.1;0.369;7.79;-5.32;1.76;2.86;0.334;0.296;23.4;5.48;-2.98;0.0061;0.03;-8.087567132;0.373607688;0.50569959;0.794945844;0.799236167;0.569431018;0.473347586;0.325245247;0.336477393;0.344047579;0.339616183;0.18746953;0.397789152;0.524900667;0.294400868;0.353018939;0.384227186;0.517844455;0.690369913;0.827639084;0.847804733;0.665929588;0.292119873;0.210560998;0.205009547
268;0.231;0.261;2.89;1.23;338;119;16.2;0.271;-0.999;-0.827;9.3;0.246;19.5;-5.51;2.54;-0.202;0.267;0.148;25.6;7.02;-19.8;0.00648;0;-11.77584316;0.277289213;0.470897881;0.608839281;0.469266111;0.32275212;0.216405373;0.193853595;0.21050442;0.265235966;0.288694887;0.343625457;0.202817982;0.262947753;0.146625121;0.320347818;0.416421657;0.337772071;0.447154976;0.506773405;0.413258141;0.218186039;0.196151785;0.126369775;0.196442101
269;0.259;0.267;4.8;1.27;312;123;8.4;1.99;0.0104;1.11;5.04;0.391;12.4;-27.9;2.6;3.35;0.37;0.0151;22.5;3.39;-27.8;0.00951;0;-16.02029219;0.239575421;0.293213106;0.434280094;0.299045164;0.191005575;0.151687849;0.110479747;0.133606035;0.210642046;0.21278928;0.146837544;0.151340559;0.190010807;0.108548626;0.112778496;0.12637591;0.158343359;0.196182285;0.218985276;0.18277365;0.133795559;0.15677826;0.11921525;0.172614201
270;0.341;0.365;4.76;1.42;358;116;46.7;-1.2;-0.121;-1.51;11.8;0.292;10.4;-31;1.67;4.75;0.215;0.0799;24.2;4.63;-18.7;0.00477;14.58;-1.768456082;1.87147148;0.854155514;1.621236466;0.976703875;0.776543841;0.760214217;0.699184416;1.836045273;2.063872479;1.609258726;0.605101045;0.367926387;1.035670936;0.416712649;0.801669527;0.800023787;0.792619959;0.833653193;0.781287905;0.675925333;0.435380545;0.455591828;0.240378594;0.547873974
271;0.351;0.36;3.68;1.28;358;101;34.9;0.779;0.179;0.237;12.4;0.248;14.4;5.77;1.85;1.59;0.252;0.053;24.9;5.45;11.2;0.00927;0.17;-6.382573349;0.280748401;0.719703408;1.055998821;1.227893215;0.619985024;0.421835016;0.313812983;0.343314558;0.379652483;0.26573136;0.192618161;0.224111392;0.518421689;0.292869937;0.370386685;0.42974581;0.514777703;0.645253481;0.876730774;1.032419968;0.675127329;0.293249241;0.2457886;0.188897725
272;0.328;0.238;3.31;1.32;367;128;20.1;-1.5;-2.32;1.16;14.4;0.294;10.4;-33.9;1.57;2.76;0.314;0.0773;22.9;5.78;9.58;0.00519;0;-10.48288775;0.46924497;0.385254575;0.581720332;0.463331537;0.376225635;0.299078971;0.346513116;0.409503747;0.530189648;0.663437974;0.640699128;0.166774797;0.429997873;0.187727157;0.292127696;0.370172574;0.397511898;0.414193468;0.369316805;0.284162583;0.164499145;0.138454058;0.133208372;0.130365393
273;0.343;0.244;3.69;1.26;312;128;51.2;-1.44;-0.0703;-0.544;61.4;0.337;7.54;-11.3;1.67;2.04;0.386;0.185;22.6;5.05;22.5;0.00581;95.52;3.058542218;2.557238564;1.87150538;2.354613133;2.287033945;1.698813029;1.760322228;2.059659362;1.750433818;1.262631547;1.235719025;0.585088413;0.511057954;1.977349818;1.385869551;3.419676051;2.656380087;2.151072584;2.108345926;0.739242323;0.619418919;0.565643329;0.520666363;1.035365742;1.077802014
